S.No.,Commune,HASC,Population
541,Draa El Caid,DZ.BJ.DC,"27,900"
542,Draa El Mizan,DZ.TO.DM,"37,628"
543,Draa-Kebila,DZ.SF.DK,"15,748"
544,Draa Smar,DZ.MD.DS,"7,465"
545,Draria,DZ.AL.DR,"23,050"
546,Drea,DZ.SA.DR,"6,255"
547,Drean,DZ.ET.DR,"32,066"
548,Echatt,DZ.ET.EC,"26,758"
549,El Abadia,DZ.AD.EB,"33,221"
550,El Ach,DZ.BB.EA,"16,108"
551,El Achir,DZ.BB.ER,"18,149"
552,El Achour,DZ.AL.EA,"19,524"
553,El Adjiba,DZ.BU.EJ,"11,572"
554,El-Affroun,DZ.BL.EA,"37,602"
555,El Aioun,DZ.ET.EA,"4,591"
556,El Allia,DZ.OG.EA,"6,530"
557,El Amiria,DZ.OB.EA,"9,795"
558,El Amra,DZ.AD.ER,"25,890"
559,El Amria,DZ.AT.EA,"19,632"
560,El Ancer,DZ.JJ.EN,"18,738"
561,El Ançar,DZ.OR.EA,"7,929"
562,El Anseur,DZ.BB.ES,"11,170"
563,El Aouana,DZ.JJ.EA,"12,384"
564,El-Aouinnet,DZ.TB.EA,"19,385"
565,El Aricha,DZ.TL.EA,"5,100"
566,El Asnam,DZ.BU.ES,"12,060"
567,El Assafia,DZ.LG.EA,"4,389"
568,El Attaf,DZ.AD.ET,"50,197"
569,El Atteuf,DZ.GR.EA,"12,713"
570,Elayadi Barbes,DZ.ML.EB,"7,189"
571,El Bayadh,DZ.EB.EY,"64,632"
572,El Beidha,DZ.LG.EB,"7,381"
573,El Biar,DZ.AL.EB,"52,582"
574,El Biod,DZ.NA.EB,"6,270"
575,El Biodh Sidi Cheikh,DZ.EB.ES,"20,675"
576,El Bnoud,DZ.EB.EN,"1,195"
577,El Bordj,DZ.MC.EB,"17,874"
578,El Borma,DZ.OG.EB,"1,997"
579,El Bouni,DZ.AN.EB,"111,956"
580,El Braya,DZ.OR.EB,"3,879"
581,El Dhaala,DZ.OB.ED,"10,690"
582,El Djazia,DZ.OB.EJ,"3,318"
583,El Eulma,DZ.AN.EE,"8,711"
584,El Eulma,DZ.SF.EU,"120,068"
585,El Fedjoudj,DZ.GL.EF,"7,473"
586,El Fedjouz Boughrara Saoudi,DZ.OB.EF,"3,658"
587,El Fehoul,DZ.TL.EF,"6,778"
588,El Feidh,DZ.BS.EF,"12,482"
589,El Flaye,DZ.BJ.EF,"6,620"
590,El Gaada,DZ.MC.ED,"4,119"
591,El Ghedir,DZ.SK.EG,"6,145"
592,El Ghicha,DZ.LG.EG,"5,719"
593,El Ghomri,DZ.MC.ER,"8,585"
594,El Ghrous,DZ.BS.EG,"12,846"
595,El Gor,DZ.TL.EG,"7,754"
596,El Guedid,DZ.DJ.EG,"11,059"
597,El Guelb El Kebir,DZ.MD.EG,"14,663"
598,El Guerrarra,DZ.GR.EG,"48,313"
599,El Guettana,DZ.MC.EG,"2,238"
600,El Guettar,DZ.RE.EG,"13,718"
601,El Hacaiba,DZ.SB.EH,"2,538"
602,El Hachem,DZ.MC.EH,"19,742"
603,El Hachimia,DZ.BU.EC,"13,482"
604,El Hadaiek,DZ.SK.ED,"12,288"
605,El Hadjab,DZ.BS.EJ,"8,394"
606,El Hadjadj,DZ.CH.EH,"9,245"
607,El Hadjar,DZ.AN.EH,"33,878"
608,El Hadjira,DZ.OG.EH,"12,781"
609,El Hakimia,DZ.BU.EA,"2,213"
610,El Hamadia,DZ.BB.EH,"20,635"
611,El Hamdania,DZ.MD.EH,"1,524"
612,El Hamel,DZ.MS.EL,"10,195"
613,El Hamma,DZ.KH.EH,"10,702"
614,El Hammamet,DZ.AL.ET,"19,651"
615,El Haouaita,DZ.LG.EH,"1,290"
616,El Haouch,DZ.BS.EC,"4,328"
617,El Harmilia,DZ.OB.EH,"7,122"
618,El Harrach,DZ.AL.EH,"48,167"
619,El Harrouch,DZ.SK.ER,"41,650"
620,El Hassania,DZ.AD.EH,"4,389"
621,El Hassasna,DZ.SD.EH,"10,448"
622,El Hassi,DZ.BT.EH,"6,964"
623,El Hassi,DZ.RE.ES,"4,119"
624,El H'Madna,DZ.RE.ED,"16,990"
625,El Houamed,DZ.MS.ED,"5,948"
626,El-Houidjbet,DZ.TB.EH,"4,431"
627,El Idrissia,DZ.DJ.EI,"21,279"
628,El Kaf Lakhdar,DZ.MD.EK,"4,054"
629,El Kala,DZ.ET.EK,"24,793"
630,El Karimia,DZ.CH.EK,"25,060"
631,El Kennar Nouchfi,DZ.JJ.EK,"13,747"
632,El Kentara,DZ.BS.EK,"9,430"
633,El Kerma,DZ.OR.EK,"13,637"
634,El Keurt,DZ.MC.EK,"3,536"
635,El Khabouzia,DZ.BU.EK,"5,552"
636,El Kharrouba,DZ.BM.EK,"8,143"
637,El Kheither,DZ.EB.EK,"7,614"
638,El Khemis,DZ.DJ.EK,"4,769"
639,El Kheng,DZ.LG.EK,"7,064"
640,El Khroub,DZ.CO.EK,"89,919"
641,El Kouif,DZ.TB.EK,"15,777"
642,El Kseur,DZ.BJ.EK,"26,886"
643,El Madania,DZ.AL.ED,"51,404"
644,El Madher,DZ.BT.EM,"15,565"
645,El Magharia,DZ.AL.EG,"30,457"
646,El Mahmal,DZ.KH.EM,"30,484"
647,El Main,DZ.BB.EN,"6,256"
648,El Maine,DZ.AD.EM,"11,319"
649,El Malabiodh,DZ.TB.EL,"9,917"
650,El Malah,DZ.AT.EL,"16,162"
651,El Mamounia,DZ.MC.EM,"11,481"
652,El Marsa,DZ.CH.EM,"9,726"
653,El Marsa,DZ.SK.EM,"5,899"
654,El Matmar,DZ.RE.EM,"14,533"
655,El Matmor,DZ.MC.ET,"13,372"
656,El Mechira,DZ.ML.EM,"11,683"
657,El Mehara,DZ.EB.EM,"2,138"
658,El Menaouer,DZ.MC.EN,"9,346"
659,El Meniaa,DZ.GR.EM,"28,848"
660,El Meridj,DZ.TB.ER,"10,254"
661,El Messaid,DZ.AT.ES,"3,971"
662,El Mezeraa,DZ.TB.EZ,"5,145"
663,El M'Ghair,DZ.EO.EM,"40,228"
664,El M'Hir,DZ.BB.EM,"15,160"
665,El Milia,DZ.JJ.EM,"69,163"
666,El Mizaraa,DZ.BS.EM,"7,060"
667,El Mokrani (El Madjen),DZ.BU.EM,"4,856"
668,El Mouradia,DZ.AL.EM,"29,503"
669,"El Ogla, El Oued Province",DZ.EO.EG,"4,715"
670,"El Ogla, Tebessa Province",DZ.TB.EO,"16,108"
671,El Ouata,DZ.BC.EO,"7,014"
672,El Oued,DZ.EO.EO,"105,256"
673,El Oueldja,DZ.KH.EO,"3,357"
674,El Ouinet,DZ.MD.EN,"3,366"
675,El Ouitaya,DZ.BS.EO,"8,787"
676,El Ouldja,DZ.RE.EO,"3,968"
677,El-Ouldja,DZ.SF.EJ,"8,921"
678,El Oumaria,DZ.MD.EM,"17,661"
679,El Ouricia,DZ.SF.ER,"14,507"
680,El Rahia,DZ.OB.ER,"2,188"
681,El Tarf,DZ.ET.ET,"20,362"
682,El Youssoufia,DZ.TS.EY,"2,040"
683,Emir Abdelkader,DZ.AT.EK,"3,691"
684,Emir Abdelkader,DZ.JJ.ED,"31,870"
685,Emjez Edchich,DZ.SK.EE,"16,756"
686,Ensigha,DZ.KH.EN,"7,894"
687,Erg Ferradj,DZ.BC.EF,"4,670"
688,Erraguene,DZ.JJ.ER,"4,088"
689,Es Sebt,DZ.SK.ES,"15,889"
690,Es Senia,DZ.OR.ES,"64,797"
691,Faidh El Botma,DZ.DJ.FB,"20,664"
692,Faidja,DZ.TR.FA,"5,590"
693,Fellaoucene,DZ.TL.FE,"7,619"
694,Fenaia Maten,DZ.BJ.FM,"11,995"
695,Fenoughil,DZ.AR.FE,"9,962"
696,Feraoun,DZ.BJ.FE,"15,563"
697,Ferdjioua,DZ.ML.FE,"40,441"
698,Ferkane,DZ.TB.FE,"3,537"
699,Ferraguig,DZ.MC.FE,"2,379"
700,Fesdis,DZ.BT.FE,"5,811"
701,Filfila,DZ.SK.FI,"25,149"
702,Fkirina,DZ.OB.FK,"11,413"
703,Foggaret Azzouia,DZ.TM.FA,"4,763"
704,Fornaka,DZ.MG.FO,"14,371"
705,Foughala,DZ.BS.FO,"9,713"
706,Fouka,DZ.TP.FO,"39,549"
707,Foum Toub,DZ.BT.FT,"5,844"
708,Freha,DZ.TO.FH,"21,997"
709,Frenda,DZ.TR.FR,"47,502"
710,Frikat,DZ.TO.FK,"12,638"
711,Froha,DZ.MC.FR,"11,969"
712,Gdyel,DZ.OR.GD,"29,999"
713,Ghardaia,DZ.GR.GH,"87,599"
714,Gharrous,DZ.MC.GA,"3,088"
715,Ghassoul,DZ.EB.GH,"5,179"
716,Ghazaouet,DZ.TL.GH,"33,094"
717,Ghebala,DZ.JJ.GH,"5,228"
718,Gherouaou,DZ.BL.GH,"12,043"
719,Ghessira,DZ.BT.GH,"6,546"
720,Ghilassa,DZ.BB.GH,"10,959"
721,Ghriss,DZ.MC.GR,"22,151"
722,Gosbat,DZ.BT.GO,"15,778"
723,Gouraya,DZ.TP.GO,"17,165"
724,Grarem Gouga,DZ.ML.GG,"36,482"
725,Guelal Boutaleb,DZ.SF.GB,"19,886"
726,Guelma,DZ.GL.GU,"110,461"
727,Gueltat Sidi Saad,DZ.LG.GS,"10,629"
728,Guelta Zerka,DZ.SF.GZ,"14,110"
729,Guemar,DZ.EO.GU,"29,185"
730,Guenzet,DZ.SF.GN,"4,571"
731,Guerdjoum,DZ.MC.GU,"2,341"
732,Guernini,DZ.DJ.GN,"4,038"
733,Guerrouma,DZ.BU.GU,"15,306"
734,Guertoufa,DZ.TR.GU,"5,900"
735,Guettara,DZ.DJ.GT,"11,151"
736,Guidjel,DZ.SF.GJ,"27,891"
737,Guiga,DZ.BT.GU,"9,708"
738,Guorriguer,DZ.TB.GU,"5,708"
739,Hacine,DZ.MC.HA,"9,176"
740,Haddada,DZ.SA.HD,"6,112"
741,Had Echkalla,DZ.RE.HE,"6,873"
742,Hadjadj,DZ.MG.HA,"15,835"
743,Hadjera Zerga,DZ.BU.HZ,"3,216"
744,Hadj Mechri,DZ.LG.HM,"6,197"
745,Hadjout,DZ.TP.HJ,"44,065"
746,Hadjret Ennous,DZ.TP.HE,"1,739"
747,Had Sahary,DZ.DJ.HS,"22,277"
748,Haizer,DZ.BU.HA,"15,388"
749,Hamadia,DZ.TR.HA,"15,357"
750,Hamadi Krouma,DZ.SK.HK,"18,805"
751,Hamala,DZ.ML.HA,"10,810"
752,Hamma,DZ.SF.HA,"12,353"
753,Hamma Bouziane,DZ.CO.HB,"58,307"
754,Hammadi,DZ.BM.HA,"27,972"
755,Hammam Ben Salah,DZ.ET.HB,"4,871"
756,Hammam Boughrara,DZ.TL.HB,"10,322"
757,Hammam Bouhadjar,DZ.AT.HB,"29,633"
758,Hammam Dalaa,DZ.MS.HD,"34,785"
759,Hammam Debagh,DZ.GL.HD,"13,412"
760,Hammamet,DZ.TB.HA,"15,879"
761,Hammam Guergour,DZ.SF.HG,"14,295"
762,Hammam Melouane,DZ.BL.HM,"4,551"
763,Hammam N'Bail,DZ.GL.HN,"15,854"
764,Hammam Righa,DZ.AD.HR,"7,133"
765,Hammam Soukhna,DZ.SF.HS,"11,481"
766,Hamraia,DZ.EO.HM,"3,938"
767,Hamri,DZ.RE.HA,"9,181"
768,Hanchir Toumghani,DZ.OB.HT,"18,775"
769,Hanencha,DZ.SA.HN,"16,127"
770,Hannacha,DZ.MD.HA,"5,784"
771,Haraoua,DZ.AL.HA,"18,167"
772,Haraza,DZ.BB.HZ,"5,707"
773,Harbil,DZ.SF.HR,"3,650"
774,Harchoune,DZ.CH.HA,"14,869"
775,Hasnaoua,DZ.BB.HS,"18,358"
776,Hassaine (Beni Yahi),DZ.MG.HB,"8,835"
777,Hassani Abdelkrim,DZ.EO.HA,"17,207"
778,Hassasna,DZ.AT.HA,"3,772"
779,Hassi Bahbah,DZ.DJ.HB,"61,790"
780,Hassi Ben Abdellah,DZ.OG.HB,"3,693"
781,Hassi Ben Okba,DZ.OR.HO,"9,435"
782,Hassi Bounif,DZ.OR.HB,"44,649"
783,Hassi Dahou,DZ.SB.HD,"4,644"
784,Hassi Delaa,DZ.LG.HD,"6,930"
785,Hassi El Euch,DZ.DJ.HE,"10,834"
786,Hassi El Ghella,DZ.AT.HG,"10,487"
787,Hassi Fedoul,DZ.DJ.HF,"12,221"
788,Hassi Fehal,DZ.GR.HF,"2,164"
789,Hassi Gara,DZ.GR.HG,"13,911"
790,Hassi Khalifa,DZ.EO.HK,"25,118"
791,Hassi Mameche,DZ.MG.HM,"21,778"
792,Hassi Mefsoukh,DZ.OR.HM,"7,656"
793,Hassi Messaoud,DZ.OG.HM,"40,368"
794,Hassi R'Mel,DZ.LG.HR,"16,791"
795,Hassi Zehana,DZ.SB.HZ,"6,800"
796,Hattatba,DZ.TP.HT,"22,002"
797,Helliopolis,DZ.GL.HE,"22,605"
798,Hennaya,DZ.TL.HE,"30,592"
799,Herenfa,DZ.CH.HE,"16,356"
800,Hidoussa,DZ.BT.HI,"2,529"
801,Hoceinia,DZ.AD.HO,"7,617"
802,Honaine,DZ.TL.HO,"5,424"
803,Hounet,DZ.SD.HO,"4,097"
804,Hussein Dey,DZ.AL.HD,"49,921"
805,Hydra,DZ.AL.HY,"35,727"
806,Ibn Ziad,DZ.CO.IZ,"15,514"
807,Iboudraren,DZ.TO.IB,"6,508"
808,Ichmoul,DZ.BT.IC,"9,887"
809,Idjeur,DZ.TO.ID,"10,379"
810,Idles,DZ.TM.ID,"3,791"
811,Iferhounene,DZ.TO.IN,"14,535"
812,Ifigha,DZ.TO.IG,"8,226"
813,Iflissen,DZ.TO.IF,"14,641"
814,Ighil-Ali,DZ.BJ.IA,"10,546"
815,Ighrem,DZ.BJ.IG,"13,711"
816,Igli,DZ.BC.IG,"5,474"
817,Illilten,DZ.TO.IL,"10,347"
818,Illizi,DZ.IL.IL,"10,163"
819,Illoula Oumalou,DZ.TO.IO,"13,812"
820,Imsouhal,DZ.TO.IM,"7,530"
821,In Amenas,DZ.IL.IA,"5,302"
822,In Ghar,DZ.TM.IG,"8,059"
823,In Guezzam,DZ.TM.IZ,"4,938"
824,In M'Guel,DZ.TM.IM,"3,030"
825,Inoughissen,DZ.BT.IN,"3,919"
826,In Salah,DZ.TM.IS,"28,022"
827,In Zghmir,DZ.AR.IZ,"14,062"
828,Irdjen,DZ.TO.IR,"13,674"
829,Isser,DZ.BM.IS,"27,990"
830,Jijel,DZ.JJ.JI,"115,678"
831,Kadiria,DZ.BU.KA,"17,923"
832,Kais,DZ.KH.KA,"28,724"
833,Kalaa,DZ.RE.KA,"9,915"
834,Kalaat Bousbaa,DZ.GL.KB,"4,874"
835,Kanoua,DZ.SK.KA,"6,531"
836,Kasdir,DZ.NA.KA,"1,820"
837,Kef El Ahmar,DZ.EB.KA,"5,245"
838,Kenadsa,DZ.BC.KN,"11,667"
839,Kendira,DZ.BJ.KE,"6,687"
840,Kerkera,DZ.SK.KE,"24,501"
841,Kerzaz,DZ.BC.KZ,"4,276"
842,Khadra,DZ.MG.KA,"12,294"
843,Khalouia,DZ.MC.KH,"4,984"
844,Khams Djouamaa,DZ.MD.KD,"7,588"
845,Khatouti Sed Eldjir,DZ.MS.KS,"6,689"
846,Khedara,DZ.SA.KD,"7,687"
847,Kheiredine,DZ.MG.KE,"22,241"
848,Kheir Oued Adjoul,DZ.JJ.KA,"4,612"
849,Khelil,DZ.BB.KH,"23,537"
850,Khemis El Khechna,DZ.BM.KK,"58,573"
851,Khemis Miliana,DZ.AD. km,"74,349"
852,Khemissa,DZ.SA. km,"3,619"
853,Khemisti,DZ.TP.KH,"12,622"
854,Khemisti,DZ.TS.KH,"20,191"
855,Khenchela,DZ.KH.KC,"87,196"
856,Kheng Maoun,DZ.SK. km,"4,382"
857,Khenguet Sidi Nadji,DZ.BS.KS,"2,526"
858,Kherrata,DZ.BJ.KH,"31,743"
859,Khezzara,DZ.GL.KH,"8,154"
860,Khirane,DZ.KH.KR,"5,350"
861,Khoubana,DZ.MS.KH,"6,848"
862,Khraicia,DZ.AL.KH,"17,690"
863,Kimmel,DZ.BT.KI,"3,014"
864,Kolea,DZ.TP.KO,"46,158"
865,Kouas,DZ.JJ.KS,"21,439"
866,Kouba,DZ.AL.KO,"105,253"
867,Kouinine,DZ.EO.KO,"7,571"
868,Krakda,DZ.EB.KR,"2,103"
869,Ksabi,DZ.BC.KS,"2,656"
870,Ksar Bellezma,DZ.BT.KB,"7,942"
871,Ksar Chellala,DZ.TR.KC,"40,423"
872,Ksar El Abtal,DZ.SF.KA,"20,667"
873,Ksar El Boukhari,DZ.MD.KB,"53,637"
874,Ksar El Sbihi,DZ.OB.KS,"11,095"
875,Ksar Hirane,DZ.LG.KH,"14,910"
876,Ksar Kaddour,DZ.AR.KK,"3,500"
877,Ksour,DZ.BB.KS,"12,540"
878,Labiod Medjadja,DZ.CH.LM,"13,920"
879,Lac Des Oiseaux,DZ.ET.LD,"9,320"
880,Laghouat,DZ.LG.LA,"107,273"
881,Lahlef,DZ.RE.LA,"10,219"
882,Lahmar,DZ.BC.LA,"1,404"
883,Lakhdaria,DZ.BU.LA,"52,723"
884,Larbaa,DZ.BL.LA,"60,482"
885,Larbaa,DZ.BT.LR,982
886,Larbaa,DZ.TS.LB,"2,823"
887,Larbaa-Nath-Irathen,DZ.TO.LN,"29,773"
888,Larbatache,DZ.BM.LA,"15,791"
889,Lardjem,DZ.TS.LJ,"23,151"
890,Larhat,DZ.TP.LA,"6,736"
891,Layoune,DZ.TS.LY,"20,580"
892,Lazharia,DZ.TS.LZ,"8,040"
893,Lazrou,DZ.BT.LZ,"4,598"
894,Leghata,DZ.BM.LE,"11,884"
895,Lemsane,DZ.BT.LE,"4,572"
896,Lemtar,DZ.SB.LE,"6,367"
897,Les Eucalyptus,DZ.AL.LE,"96,310"
898,Lichana,DZ.BS.LC,"8,740"
899,Lioua,DZ.BS.LI,"15,960"
900,Maacem,DZ.TS.MA,"4,671"
901,Maadid,DZ.MS.MD,"22,274"
902,Maafa,DZ.BT.MA,"2,780"
903,Maala,DZ.BU.ML,"5,806"
904,Maamora,DZ.BU.MM,"3,569"
905,Maamora,DZ.SD.MA,"5,342"
906,Maaouia,DZ.SF.MA,"8,976"
907,Maarif,DZ.MS.MA,"10,990"
908,Maatkas,DZ.TO.MA,"31,188"
909,Machroha,DZ.SA.MA,"17,189"
910,Madna,DZ.TR.MN,"2,681"
911,Maghnia,DZ.TL.MG,"96,302"
912,Magra,DZ.MS.MG,"31,749"
913,Magrane,DZ.EO.MA,"20,102"
914,Magtaa Douz,DZ.MC.MD,"8,624"
915,Mahdia,DZ.TR.MH,"30,264"
916,Mahelma,DZ.AL.MH,"14,810"
917,Makhda,DZ.MC.MK,"4,439"
918,Makman Ben Amer,DZ.NA.MB,"3,658"
919,Makouda,DZ.TO.MD,"22,548"
920,Mansoura,DZ.BB.MA,"19,979"
921,Mansoura,DZ.GR.MA,"1,765"
922,Mansourah,DZ.MG.MA,"15,641"
923,Mansourah,DZ.TL.MN,"35,697"
924,Maouaklane,DZ.SF.MK,"15,201"
925,Maoussa,DZ.MC.MA,"18,104"
926,Marsa,DZ.AL.MR,"8,784"
927,Marsa Ben M'Hidi,DZ.TL.MB,"5,554"
928,Marsat El Hadjadj,DZ.OR.MH,"10,284"
929,Mascara,DZ.MC.MC,"87,512"
930,Mazouna,DZ.RE.MA,"22,544"
931,M'Chedallah,DZ.BU.MC,"21,593"
932,M'Cid,DZ.SB.MC,"3,490"
933,M'Cif,DZ.MS.MC,"10,241"
934,M'Daourouche,DZ.SA.MD,"24,919"
935,M'Doukal,DZ.BT.MD,"7,213"
936,Mecheria,DZ.NA.ME,"52,898"
937,Mechouneche,DZ.BS.MC,"9,143"
938,Mechraa Houari Boumediene,DZ.BC.MH,"3,133"
939,Mechraa Safa,DZ.TR.MS,"15,402"
940,Mechtrass,DZ.TO.MC,"11,075"
941,Medea,DZ.MD.MD,"123,498"
942,Mediouna,DZ.RE.MD,"28,733"
943,Medjana,DZ.BB.ME,"16,112"
944,Medjaz Ammar,DZ.GL.MA,"6,426"
945,Medjaz Sfa,DZ.GL.MS,"7,561"
946,Medjebar,DZ.MD.MJ,"5,686"
947,Medjedel,DZ.MS.ME,"18,616"
948,Medrissa,DZ.TR.MI,"13,719"
949,Medroussa,DZ.TR.MO,"9,038"
950,Meftah,DZ.BL.ME,"52,521"
951,Meftaha,DZ.MD.MF,"4,442"
952,Megarine,DZ.OG.ME,"10,996"
953,Megheraoua,DZ.MD.MR,"5,392"
954,Meghila,DZ.TR.MG,"2,648"
955,Mekhadma,DZ.BS.MK,"4,317"
956,Mekhatria,DZ.AD.ME,"14,963"
957,Mekkedra,DZ.SB.MK,"2,128"
958,Mekla,DZ.TO.ML,"26,315"
959,Melaab,DZ.TS.ME,"3,301"
960,Melbou,DZ.BJ.ME,"9,990"
961,Mellakou,DZ.TR.ML,"11,404"
962,Menaa,DZ.BT.MN,"11,855"
963,Menaa (Ouled Atia),DZ.MS.MO,"7,167"
964,Menaceur,DZ.TP.MC,"22,684"
965,Mendes,DZ.RE.MN,"13,331"
966,Merad,DZ.TP.MR,"18,104"
967,Merahna,DZ.SA.ME,"11,030"
968,Merdja Sidi Abed,DZ.RE.MS,"6,176"
969,Merhoum,DZ.SB.MH,"4,031"
970,Meridja,DZ.BC.ME,532
971,Merine,DZ.SB.MN,"7,110"
972,Merouana,DZ.BT.MR,"34,788"
973,Mers El Kebir,DZ.OR.MK,"14,167"
974,Meskiana,DZ.OB.ME,"25,849"
975,Mesra,DZ.MG.MS,"20,053"
976,Messaad,DZ.DJ.ME,"77,754"
977,Messelmoun,DZ.TP.MS,"6,603"
978,Metarfa,DZ.AR.ME,"7,061"
979,Metlili,DZ.GR.ME,"33,759"
980,Mezaourou,DZ.SB.MZ,"6,658"
981,Mezdour,DZ.BU.ME,"10,723"
982,Mezeghana,DZ.MD.MZ,"6,361"
983,Mezghrane,DZ.MG.MZ,"15,120"
984,Mezloug,DZ.SF.ME,"13,373"
985,M'Hamid,DZ.MC.MH,"6,062"
986,Mih Ouansa,DZ.EO.MO,"11,779"
987,Mihoub,DZ.MD.MI,"11,488"
988,Mila,DZ.ML.MI,"59,959"
989,Miliana,DZ.AD.MI,"39,662"
990,Minar Zarza,DZ.ML.MZ,"20,620"
991,Misserghin,DZ.OR.MI,"18,089"
992,Mizrana,DZ.TO.MI,"9,586"
993,M'Kira,DZ.TO.MK,"17,328"
994,M'Lili,DZ.BS.ML,"5,151"
995,M'Liliha,DZ.DJ.ML,"13,155"
996,M'Naguer,DZ.OG.MN,"11,243"
997,Mogheul,DZ.BC.MO,682
998,Moghrar,DZ.NA.MO,"2,796"
999,Mohamed Belouizdad,DZ.AL.MB,"59,248"
1000,Mohamed Boudiaf,DZ.MS.MB,"12,366"
1001,Mohammadia,DZ.AL.MO,"42,079"
1002,Mohammadia,DZ.MC.MO,"71,366"
1003,Morsot,DZ.TB.MO,"16,331"
1004,Mostaganem,DZ.MG.MO,"130,288"
1005,Moudjebara,DZ.DJ.MO,"10,365"
1006,Moulay Larbi,DZ.SD.ML,"10,426"
1007,Moulay Slissen,DZ.SB.MS,"5,270"
1008,Moussadek,DZ.CH.MO,"5,496"
1009,Mouzaia,DZ.BL.MO,"44,893"
1010,M'Rara,DZ.EO.MR,"5,976"
1011,M'Sara,DZ.KH.MS,"4,194"
1012,M'Sila,DZ.MS.MS,"123,059"
1013,Msirda Fouaga,DZ.TL.MF,"5,496"
1014,M'Sisna,DZ.BJ.MS,"8,462"
1015,M'Tarfa,DZ.MS.MT,"7,621"
1016,M'Toussa,DZ.KH.MT,"5,538"
1017,Mustafa Ben Brahim,DZ.SB.MB,"8,111"
1018,Naama,DZ.NA.NA,"8,256"
1019,Naciria,DZ.BM.NA,"21,272"
1020,Nador,DZ.TP.NA,"8,018"
1021,Nadorah,DZ.TR.ND,"7,030"
1022,Naima,DZ.TR.NM,"7,569"
1023,Nakhla,DZ.EO.NA,"9,491"
1024,Nechemaya,DZ.GL.NE,"9,113"
1025,Nedroma,DZ.TL.NE,"31,136"
1026,Negrine,DZ.TB.NE,"5,891"
1027,Nekmaria,DZ.MG.NE,"9,104"
1028,Nesmoth,DZ.MC.NE,"4,414"
1029,Nezla,DZ.OG.NE,"40,524"
1030,N'Gaous,DZ.BT.NG,"25,731"
1031,N'Goussa,DZ.OG.NG,"13,344"
1032,Oggaz,DZ.MC.OG,"10,120"
1033,Ogla Melha,DZ.TB.OM,"6,504"
1034,Oran,DZ.OR.OR,"634,112"
1035,Ouacif,DZ.TO.OC,"10,497"
1036,Ouadhia,DZ.TO.OD,"17,286"
1037,Ouaguenoun,DZ.TO.OG,"15,645"
1038,Ouamri,DZ.MD.OU,"14,724"
1039,Ouanougha,DZ.MS.ON,"15,190"
1040,Ouargla,DZ.OG.OU,"112,339"
1041,Ouarizane,DZ.RE.OU,"18,087"
1042,Oudjana,DZ.JJ.OU,"8,612"
1043,Oued Athmenia,DZ.ML.OA,"35,934"
1044,Oued Berkeche,DZ.AT.OB,"3,773"
1045,Oued Chaaba,DZ.BT.OC,"5,835"
1046,Oued Cheham,DZ.GL.OC,"11,765"
1047,Oued Chorfa,DZ.AD.OC,"11,960"
1048,Oued Chouly,DZ.TL.OC,"4,034"
1049,Oued Djemaa,DZ.AD.OD,"9,891"
1050,Oued Djer,DZ.BL.OD,"5,373"
1051,Oued El Abtal,DZ.MC.OA,"19,184"
1052,Oued El Alenda,DZ.EO.OA,"5,839"
1053,Oued El Alleug,DZ.BL.OA,"33,915"
1054,Oued El Aneb,DZ.AN.OA,"17,306"
1055,Oued El Barad,DZ.SF.OB,"3,013"
1056,Oued El Berdi,DZ.BU.OB,"9,221"
1057,Oued El Djemaa,DZ.RE.OD,"20,844"
1058,Oued El Kheir,DZ.MG.OK,"14,700"
1059,Oued El Ma,DZ.BT.OM,"16,947"
1060,Oued Endja,DZ.ML.OE,"16,802"
1061,Oued Essalem,DZ.RE.OE,"8,897"
1062,Oued Fodda,DZ.CH.OF,"36,187"
1063,Oued Fragha,DZ.GL.OF,"6,636"
1064,Oued Ghir,DZ.BJ.OG,"15,728"
1065,Oued Goussine,DZ.CH.OG,"5,439"
1066,Oued Harbil,DZ.MD.OH,"4,768"
1067,Oued Kebrit,DZ.SA.OK,"4,770"
1068,Oued Koriche,DZ.AL.OK,"53,378"
1069,Oued Lilli,DZ.TR.OL,"11,834"
1070,Oued Mora,DZ.LG.OR,"4,748"
1071,Oued M'Zi,DZ.LG.OZ,"1,786"
1072,Oued Nini,DZ.OB.ON,"4,851"
1073,Oued Rhiou,DZ.RE.OR,"54,435"
1074,Oued Sebaa,DZ.SB.OB,"3,863"
1075,Oued Sebbah,DZ.AT.OS,"9,478"
1076,Oued Sefioune,DZ.SB.OF,"5,343"
1077,Oued Seguen,DZ.ML.OS,"11,792"
1078,Oued Sly,DZ.CH.OS,"41,245"
1079,Oued Smar,DZ.AL.OS,"21,397"
1080,Oued Taga,DZ.BT.OT,"16,154"
1081,Oued Taourira,DZ.SB.OT,839
1082,Oued Taria,DZ.MC.OT,"13,916"
1083,Oued Tlelat,DZ.OR.OT,"13,289"
1084,Oued Zenati,DZ.GL.OZ,"27,254"
1085,Oued Zhour,DZ.SK.OZ,"6,602"
1086,Oued Zitoun,DZ.ET.OZ,"5,321"
1087,Ouenza,DZ.TB.OU,"45,881"
1088,Ouezra,DZ.MD.OZ,"11,491"
1089,Ouillen,DZ.SA.OU,"6,419"
1090,Ouldja Boulbalout,DZ.SK.OB,"4,045"
1091,Ouled Abbes,DZ.CH.OA,"7,330"
1092,Ouled Addi Guebala,DZ.MS.OA,"22,369"
